78.1,16.2,,0.1,5.7,,,,,83.7,,,79.5,89.4,1.2,79.8,19.4,65.8,59,3.45
52.5,8,39.5,,,,,,,,,90.2,83.6,95.4,2,72.3,36.8,72.6,40.9,3.33
55.6,34,0.2,10.2,0.2,,,,,83.5,79.1,79,79.7,93.8,1.3,65.9,20.2,57.7,52.2,2.2
69.4,22.1,7.8,,0.7,,,,,85.1,,90,85.8,95.8,,67.1,27,67.2,46,2.03
60.7,24.5,,12.5,2.4,,,,,85.2,73.7,,85.1,92.6,0.1,76.3,32.5,65.8,47.6,2.99
65.9,,0.1,18.7,15.2,,,,,85.4,82.6,92,,95.2,0.8,73.9,37,64.9,44,2.32
73.3,15.6,,1.8,8.6,0.8,,,81.7,81.2,79.1,,81.3,93,4.5,77.5,22.4,65.6,54.8,3.11
56.3,11.2,,2.3,30.3,,,,,74,72.2,,80.7,85.5,1.3,76.6,24.4,65.7,52,3.24
58.1,8.2,,6.3,27.5,,,,,80.9,77.6,,86.5,92.7,0.7,67.6,35.3,71.5,41.7,2.56
93.8,6.2,,,,,,,,,,,83.1,93.6,0.6,69.6,35.6,74.9,53.2,1.6
83,17,,,,,,,,,,,85.7,97.1,0.5,78.4,29.3,68.7,46.2,2.72
59.4,,26.1,14.3,0.2,,,,,86.5,77.9,89.1,,94.1,1.4,70.2,27.4,64.9,51.6,2.7
79.7,20.2,,,0.2,,,,,87.5,,,86.2,95,2.2,65.7,35.9,66.1,37.3,2.55
61.6,37.2,,,1.1,,,,,78.7,,,77.2,85,4.1,73.4,32,61.4,42.3,3.18
52.2,3.2,,43.3,1.3,,,,,87.1,82.3,,85.2,91.6,1.7,63.6,34.5,60.8,43.8,2.5
70.3,22.1,,,,7.6,,,93.1,,,,89.2,97.1,0.1,68.4,37.7,67.3,43.3,2.32
78.8,18,,3.2,,,,,,,79.8,,82.8,94.5,2.8,66.8,22.4,73.2,59,2.38
50.8,29.4,,9.7,10.2,,,,,81.7,77.1,,86.1,91.2,2.4,82.7,28.2,59.7,44.6,3.51
78.2,6.2,,,,15.7,,,87.9,,,,85.2,94.3,0.4,67.1,30.3,72.6,56.5,1.9
67,10.8,,,22.2,,,,,77,,,73.6,83.9,1.4,82.8,35,69.3,39.9,2.81
81.4,9.2,,,,9.4,,,89.1,,,,84.1,94.7,0.1,77.6,25.9,73.1,50.6,3.18
78.8,2.3,,9.3,9.6,,,,,77,77.6,,86.8,93.6,10.8,80.3,29.4,76.2,54.5,2.8
52.6,34,,,13.5,,,,,70.1,,,82.8,90.3,0.7,77.5,33.8,68,54,2.55
66,11.4,,2.2,0.1,20.3,,,87,84.3,76.7,,84,91.9,3.5,77.5,19.6,67.6,55.2,3.47
94.1,5.9,,,,,,,,,,,82,92.4,0.5,70.2,32,64.4,54.2,1.55
81.5,17.4,,0.8,0.4,,,,,90.8,82.4,,83.8,96.3,1.4,80,36.9,69.2,42.5,3.47
